Delay [ns]	Avg StS	0245 Delay[ns]	0245 StS	0246 Delay[ns]	0246 StS	0247 Delay[ns]	0247 StS	0248 Delay[ns]	0248 StS	0249 Delay[ns]	0249 StS	0250 Delay[ns]	0250 StS
1.130000e+00	1.293476e+08	1.130000e+00	6.145936e+07	1.130000e+00	1.324611e+08	1.130000e+00	2.216125e+08	1.130000e+00	5.556376e+07	1.130000e+00	1.149780e+08	1.130000e+00	1.900106e+08
1.430000e+00	2.045787e+08	1.430000e+00	2.026933e+08	1.430000e+00	3.227462e+08	1.430000e+00	1.574835e+08	1.430000e+00	1.779364e+08	1.430000e+00	2.342288e+08	1.430000e+00	1.323841e+08
1.730000e+00	2.269794e+08	1.730000e+00	2.107666e+08	1.730000e+00	1.917330e+08	1.730000e+00	1.961366e+08	1.730000e+00	2.969792e+08	1.730000e+00	2.535257e+08	1.730000e+00	2.127356e+08
1.780000e+00	1.775277e+08	1.780000e+00	1.600610e+08	1.780000e+00	2.065010e+08	1.780000e+00	1.478802e+08	1.780000e+00	1.703692e+08	1.780000e+00	3.007282e+08	1.780000e+00	7.962666e+07
1.880000e+00	1.963194e+08	1.880000e+00	1.521548e+08	1.880000e+00	1.579375e+08	1.880000e+00	3.457451e+08	1.880000e+00	1.197247e+08	1.880000e+00	1.204262e+08	1.880000e+00	2.819283e+08
1.980000e+00	2.204806e+08	1.980000e+00	1.856576e+08	1.980000e+00	2.695539e+08	1.980000e+00	2.894096e+08	1.980000e+00	1.662836e+08	1.980000e+00	2.487449e+08	1.980000e+00	1.632342e+08
2.030000e+00	1.950810e+08	2.030000e+00	1.703792e+08	2.030000e+00	2.389366e+08	2.030000e+00	1.681093e+08	2.030000e+00	2.459413e+08	2.030000e+00	1.463245e+08	2.030000e+00	2.007949e+08
2.055000e+00	1.706546e+08	2.055000e+00	2.259986e+08	2.055000e+00	1.382117e+08	2.055000e+00	1.630092e+08	2.055000e+00	1.728588e+08	2.055000e+00	2.006674e+08	2.055000e+00	1.231820e+08
2.080000e+00	1.443330e+08	2.080000e+00	2.251940e+08	2.080000e+00	1.909154e+08	2.080000e+00	1.160991e+08	2.080000e+00	1.979643e+08	2.080000e+00	8.882365e+07	2.080000e+00	4.700135e+07
2.105000e+00	1.340725e+08	2.105000e+00	1.697297e+08	2.105000e+00	1.296009e+08	2.105000e+00	2.224982e+08	2.105000e+00	7.448489e+07	2.105000e+00	9.047643e+07	2.105000e+00	1.176450e+08
2.130000e+00	5.247285e+07	2.130000e+00	7.759824e+07	2.130000e+00	8.797134e+07	2.130000e+00	-1.316249e+06	2.130000e+00	3.898944e+07	2.130000e+00	3.516947e+07	2.130000e+00	7.642487e+07
2.155000e+00	6.319325e+06	2.155000e+00	-6.634652e+07	2.155000e+00	-2.595798e+06	2.155000e+00	-2.771374e+07	2.155000e+00	-5.872759e+07	2.155000e+00	1.340973e+08	2.155000e+00	5.920230e+07
2.180000e+00	6.104632e+06	2.180000e+00	-4.402006e+07	2.180000e+00	-1.691010e+07	2.180000e+00	3.325409e+07	2.180000e+00	6.801738e+07	2.180000e+00	8.084953e+02	2.180000e+00	-3.714329e+06
2.205000e+00	1.947918e+07	2.205000e+00	7.627178e+07	2.205000e+00	1.039209e+08	2.205000e+00	1.828141e+07	2.205000e+00	-5.522408e+07	2.205000e+00	4.622695e+07	2.205000e+00	-7.260189e+07
2.230000e+00	-3.361481e+07	2.230000e+00	-9.584621e+07	2.230000e+00	-1.286813e+06	2.230000e+00	-3.790555e+07	2.230000e+00	2.345332e+07	2.230000e+00	4.920096e+06	2.230000e+00	-9.502371e+07
2.280000e+00	-1.180394e+07	2.280000e+00	-1.618399e+07	2.280000e+00	1.291842e+06	2.280000e+00	1.732014e+07	2.280000e+00	-6.186470e+07	2.280000e+00	-7.220868e+07	2.280000e+00	6.082174e+07
2.380000e+00	5.632109e+07	2.380000e+00	1.627795e+08	2.380000e+00	9.456091e+07	2.380000e+00	4.594651e+07	2.380000e+00	2.495231e+07	2.380000e+00	6.153309e+06	2.380000e+00	3.533982e+06
2.480000e+00	4.123067e+07	2.480000e+00	-3.726995e+06	2.480000e+00	-8.977759e+06	2.480000e+00	1.350799e+08	2.480000e+00	7.972635e+07	2.480000e+00	-6.084498e+06	2.480000e+00	5.136700e+07
2.530000e+00	1.292482e+06	2.530000e+00	5.957461e+07	2.530000e+00	-9.596041e+07	2.530000e+00	6.116248e+07	2.530000e+00	-8.362699e+06	2.530000e+00	-6.989847e+07	2.530000e+00	6.123938e+07
2.830000e+00	2.783016e+06	2.830000e+00	-2.683073e+07	2.830000e+00	9.144598e+06	2.830000e+00	7.383018e+07	2.830000e+00	7.634110e+07	2.830000e+00	-3.562046e+07	2.830000e+00	-8.016659e+07
3.130000e+00	7.349546e+07	3.130000e+00	8.227474e+07	3.130000e+00	1.928984e+07	3.130000e+00	8.405706e+07	3.130000e+00	5.025048e+07	3.130000e+00	1.458334e+08	3.130000e+00	5.926722e+07
3.430000e+00	1.382309e+08	3.430000e+00	1.202928e+08	3.430000e+00	1.196895e+08	3.430000e+00	1.116699e+08	3.430000e+00	2.371703e+08	3.430000e+00	1.081170e+08	3.430000e+00	1.324458e+08
3.730000e+00	1.459560e+08	3.730000e+00	1.360021e+08	3.730000e+00	1.666236e+08	3.730000e+00	1.540171e+08	3.730000e+00	1.310783e+08	3.730000e+00	1.555892e+08	3.730000e+00	1.324256e+08
3.780000e+00	1.393997e+08	3.780000e+00	1.332166e+08	3.780000e+00	5.469083e+07	3.780000e+00	1.376381e+08	3.780000e+00	1.759815e+08	3.780000e+00	1.333853e+08	3.780000e+00	2.014857e+08
3.880000e+00	1.137414e+08	3.880000e+00	1.443943e+08	3.880000e+00	2.035997e+07	3.880000e+00	1.701775e+08	3.880000e+00	9.368159e+07	3.880000e+00	1.378332e+08	3.880000e+00	1.160018e+08
3.980000e+00	1.521877e+08	3.980000e+00	4.154120e+07	3.980000e+00	1.674213e+08	3.980000e+00	2.201967e+08	3.980000e+00	2.211133e+08	3.980000e+00	1.748660e+08	3.980000e+00	8.798756e+07
4.030000e+00	1.692972e+08	4.030000e+00	1.067129e+08	4.030000e+00	1.999992e+08	4.030000e+00	1.523345e+08	4.030000e+00	1.976411e+08	4.030000e+00	1.458170e+08	4.030000e+00	2.132784e+08
4.055000e+00	1.484542e+08	4.055000e+00	1.094426e+08	4.055000e+00	2.251361e+08	4.055000e+00	1.994263e+08	4.055000e+00	1.364818e+08	4.055000e+00	6.824608e+07	4.055000e+00	1.519924e+08
4.080000e+00	1.897788e+08	4.080000e+00	2.485714e+08	4.080000e+00	1.607196e+08	4.080000e+00	1.918913e+08	4.080000e+00	1.619835e+08	4.080000e+00	1.970919e+08	4.080000e+00	1.784150e+08
4.105000e+00	1.611208e+08	4.105000e+00	2.079421e+08	4.105000e+00	1.363928e+08	4.105000e+00	1.386589e+08	4.105000e+00	1.466726e+08	4.105000e+00	1.499109e+08	4.105000e+00	1.871475e+08
4.130000e+00	1.381879e+08	4.130000e+00	1.534405e+08	4.130000e+00	1.223699e+08	4.130000e+00	1.372562e+08	4.130000e+00	6.596548e+07	4.130000e+00	1.926905e+08	4.130000e+00	1.574051e+08
4.155000e+00	1.618582e+08	4.155000e+00	9.251175e+07	4.155000e+00	2.535392e+08	4.155000e+00	1.043144e+08	4.155000e+00	1.915432e+08	4.155000e+00	1.587221e+08	4.155000e+00	1.705186e+08
