Delay [ns]	Avg StS	0204 Delay[ns]	0204 StS	0205 Delay[ns]	0205 StS	0206 Delay[ns]	0206 StS	0207 Delay[ns]	0207 StS	0208 Delay[ns]	0208 StS	0209 Delay[ns]	0209 StS	0210 Delay[ns]	0210 StS	0211 Delay[ns]	0211 StS
-3.045000e+01	2.110386e+07	-3.045000e+01	3.208358e+07	-3.045000e+01	5.377972e+07	-3.045000e+01	-2.311946e+06	-3.045000e+01	6.889462e+07	-3.045000e+01	-3.669250e+07	-3.045000e+01	5.992896e+06	-3.045000e+01	-8.554673e+07	-3.045000e+01	1.326312e+08
-3.015000e+01	-5.842128e+06	-3.015000e+01	2.248279e+07	-3.015000e+01	6.668495e+07	-3.015000e+01	-2.662481e+07	-3.015000e+01	5.621641e+06	-3.015000e+01	8.059386e+06	-3.015000e+01	-8.156411e+07	-3.015000e+01	2.941578e+07	-3.015000e+01	-7.081265e+07
-2.985000e+01	-2.066494e+06	-2.985000e+01	6.313974e+06	-2.985000e+01	-1.274605e+06	-2.985000e+01	3.458535e+07	-2.985000e+01	4.584664e+07	-2.985000e+01	3.472998e+06	-2.985000e+01	-5.995022e+07	-2.985000e+01	-2.928466e+07	-2.985000e+01	-1.624143e+07
-2.975000e+01	7.509450e+06	-2.975000e+01	1.517368e+07	-2.975000e+01	6.451994e+06	-2.975000e+01	1.377444e+08	-2.975000e+01	-6.153578e+07	-2.975000e+01	-2.747118e+07	-2.975000e+01	2.635196e+07	-2.975000e+01	2.438536e+06	-2.975000e+01	-3.907801e+07
-2.965000e+01	-3.106162e+07	-2.965000e+01	-1.435869e+08	-2.965000e+01	9.022306e+06	-2.965000e+01	1.841596e+07	-2.965000e+01	-2.247584e+06	-2.965000e+01	-2.910718e+07	-2.965000e+01	-9.622990e+06	-2.965000e+01	6.149039e+06	-2.965000e+01	-9.751561e+07
-2.960000e+01	6.890024e+06	-2.960000e+01	4.657876e+07	-2.960000e+01	5.968748e+07	-2.960000e+01	-1.066935e+08	-2.960000e+01	-4.586036e+07	-2.960000e+01	9.262559e+07	-2.960000e+01	-7.853772e+07	-2.960000e+01	2.463719e+07	-2.960000e+01	6.268275e+07
-2.957500e+01	2.502503e+06	-2.957500e+01	-1.511755e+07	-2.957500e+01	-1.285552e+07	-2.957500e+01	-7.212517e+07	-2.957500e+01	4.120296e+07	-2.957500e+01	5.422479e+07	-2.957500e+01	-2.291288e+07	-2.957500e+01	5.010519e+07	-2.957500e+01	-2.501796e+06
-2.955000e+01	-3.254946e+06	-2.955000e+01	-6.150878e+07	-2.955000e+01	3.992752e+07	-2.955000e+01	1.050474e+08	-2.955000e+01	-1.014600e+08	-2.955000e+01	1.028592e+08	-2.955000e+01	-4.838434e+07	-2.955000e+01	-4.114406e+07	-2.955000e+01	-2.137651e+07
-2.952500e+01	-3.932889e+06	-2.952500e+01	-8.529896e+07	-2.952500e+01	-3.082356e+07	-2.952500e+01	2.099202e+07	-2.952500e+01	1.465679e+07	-2.952500e+01	2.811400e+07	-2.952500e+01	-5.237673e+07	-2.952500e+01	8.726677e+07	-2.952500e+01	-1.399344e+07
-2.950000e+01	-1.822762e+07	-2.950000e+01	5.471142e+07	-2.950000e+01	6.108504e+07	-2.950000e+01	2.694473e+07	-2.950000e+01	-3.716427e+07	-2.950000e+01	-6.638280e+07	-2.950000e+01	-1.210209e+08	-2.950000e+01	-1.603912e+07	-2.950000e+01	-4.795503e+07
-2.947500e+01	-1.436864e+07	-2.947500e+01	-2.158138e+07	-2.947500e+01	-3.129617e+07	-2.947500e+01	-4.463440e+07	-2.947500e+01	-1.240217e+08	-2.947500e+01	1.518403e+07	-2.947500e+01	5.145498e+07	-2.947500e+01	2.227894e+07	-2.947500e+01	1.766657e+07
-2.945000e+01	-6.264024e+06	-2.945000e+01	-4.801083e+07	-2.945000e+01	1.064904e+08	-2.945000e+01	-9.404328e+07	-2.945000e+01	3.052646e+07	-2.945000e+01	4.111172e+07	-2.945000e+01	-8.596061e+06	-2.945000e+01	-8.774825e+07	-2.945000e+01	1.015765e+07
-2.942500e+01	1.169439e+07	-2.942500e+01	-2.917266e+07	-2.942500e+01	-3.256194e+07	-2.942500e+01	7.014298e+07	-2.942500e+01	-3.641882e+07	-2.942500e+01	-1.286627e+07	-2.942500e+01	7.260814e+07	-2.942500e+01	1.405990e+08	-2.942500e+01	-7.877528e+07
-2.940000e+01	1.292894e+07	-2.940000e+01	8.902119e+06	-2.940000e+01	4.680800e+07	-2.940000e+01	-4.921848e+07	-2.940000e+01	-2.053802e+07	-2.940000e+01	5.887177e+07	-2.940000e+01	-7.307302e+06	-2.940000e+01	2.643224e+07	-2.940000e+01	3.948122e+07
-2.935000e+01	3.278740e+07	-2.935000e+01	-2.541249e+07	-2.935000e+01	6.905067e+07	-2.935000e+01	3.851964e+07	-2.935000e+01	2.056131e+07	-2.935000e+01	7.195962e+07	-2.935000e+01	7.157468e+07	-2.935000e+01	-4.106663e+07	-2.935000e+01	5.711237e+07
-2.925000e+01	-7.835040e+06	-2.925000e+01	-7.363837e+07	-2.925000e+01	-2.843249e+07	-2.925000e+01	1.652949e+07	-2.925000e+01	8.005054e+06	-2.925000e+01	-9.400425e+06	-2.925000e+01	-8.433572e+06	-2.925000e+01	7.635620e+07	-2.925000e+01	-4.366621e+07
-2.915000e+01	8.599438e+06	-2.915000e+01	-1.276163e+07	-2.915000e+01	-3.922982e+07	-2.915000e+01	-3.512413e+07	-2.915000e+01	7.492007e+07	-2.915000e+01	-2.945473e+07	-2.915000e+01	1.221327e+08	-2.915000e+01	1.251953e+07	-2.915000e+01	-2.420649e+07
-2.905000e+01	2.552138e+07	-2.905000e+01	5.485862e+07	-2.905000e+01	2.299884e+07	-2.905000e+01	1.105950e+07	-2.905000e+01	-2.059427e+07	-2.905000e+01	8.943782e+07	-2.905000e+01	1.483136e+08	-2.905000e+01	-5.365281e+07	-2.905000e+01	-4.825022e+07
-2.875000e+01	-2.565955e+07	-2.875000e+01	3.445275e+07	-2.875000e+01	-1.720916e+07	-2.875000e+01	-8.915940e+07	-2.875000e+01	5.644807e+07	-2.875000e+01	-9.220999e+07	-2.875000e+01	3.551590e+07	-2.875000e+01	1.248850e+06	-2.875000e+01	-1.343634e+08
-2.845000e+01	6.489684e+05	-2.845000e+01	3.097245e+07	-2.845000e+01	1.295142e+07	-2.845000e+01	-7.472679e+06	-2.845000e+01	-4.579054e+07	-2.845000e+01	1.037222e+07	-2.845000e+01	3.188510e+06	-2.845000e+01	1.258796e+07	-2.845000e+01	-1.161758e+07
-2.815000e+01	-2.960901e+07	-2.815000e+01	9.716679e+06	-2.815000e+01	-5.246758e+07	-2.815000e+01	-4.173769e+07	-2.815000e+01	-1.069888e+08	-2.815000e+01	-6.344313e+07	-2.815000e+01	-2.719301e+07	-2.815000e+01	-1.111907e+07	-2.815000e+01	5.636055e+07
-2.785000e+01	-9.059082e+06	-2.785000e+01	7.361082e+06	-2.785000e+01	-1.018216e+08	-2.785000e+01	2.596197e+07	-2.785000e+01	-4.943899e+07	-2.785000e+01	-4.391609e+07	-2.785000e+01	7.393657e+07	-2.785000e+01	1.771681e+07	-2.785000e+01	-2.272412e+06
-2.775000e+01	3.531958e+07	-2.775000e+01	5.164870e+07	-2.775000e+01	8.296856e+07	-2.775000e+01	5.078473e+07	-2.775000e+01	3.656387e+07	-2.775000e+01	2.585677e+07	-2.775000e+01	2.389444e+07	-2.775000e+01	-1.327436e+07	-2.775000e+01	2.411397e+07
-2.765000e+01	-7.984609e+06	-2.765000e+01	-4.286143e+07	-2.765000e+01	-4.771244e+07	-2.765000e+01	7.768348e+06	-2.765000e+01	-3.240629e+06	-2.765000e+01	1.123753e+08	-2.765000e+01	-4.364708e+06	-2.765000e+01	-9.039159e+07	-2.765000e+01	4.550278e+06
-2.760000e+01	-6.125496e+06	-2.760000e+01	-1.960308e+07	-2.760000e+01	7.581877e+06	-2.760000e+01	-6.518122e+06	-2.760000e+01	-7.526013e+06	-2.760000e+01	3.656893e+07	-2.760000e+01	-8.220769e+07	-2.760000e+01	4.477338e+06	-2.760000e+01	1.822279e+07
-2.757500e+01	-1.790650e+07	-2.757500e+01	2.206014e+07	-2.757500e+01	7.512363e+06	-2.757500e+01	-2.876390e+07	-2.757500e+01	3.211496e+07	-2.757500e+01	5.213634e+06	-2.757500e+01	-2.188356e+06	-2.757500e+01	-7.779948e+07	-2.757500e+01	-1.014014e+08
-2.755000e+01	-1.603977e+07	-2.755000e+01	-6.474933e+07	-2.755000e+01	-9.786446e+07	-2.755000e+01	-5.904865e+07	-2.755000e+01	-4.504512e+07	-2.755000e+01	1.373118e+07	-2.755000e+01	2.743768e+07	-2.755000e+01	-2.267425e+06	-2.755000e+01	9.948795e+07
-2.752500e+01	1.561348e+07	-2.752500e+01	9.913236e+06	-2.752500e+01	7.505056e+06	-2.752500e+01	1.966048e+07	-2.752500e+01	-4.335457e+06	-2.752500e+01	1.800531e+07	-2.752500e+01	8.063109e+07	-2.752500e+01	-1.341644e+07	-2.752500e+01	6.944542e+06
-2.750000e+01	-3.524514e+07	-2.750000e+01	-2.353072e+07	-2.750000e+01	-1.519024e+07	-2.750000e+01	1.448180e+07	-2.750000e+01	-7.258362e+07	-2.750000e+01	9.477550e+07	-2.750000e+01	-1.096679e+08	-2.750000e+01	1.570080e+07	-2.750000e+01	-1.859467e+08
-2.747500e+01	-2.101109e+07	-2.747500e+01	-3.460286e+07	-2.747500e+01	-2.667449e+07	-2.747500e+01	-1.319957e+06	-2.747500e+01	-2.712501e+07	-2.747500e+01	-3.168203e+07	-2.747500e+01	-1.443365e+07	-2.747500e+01	-4.720081e+07	-2.747500e+01	1.495011e+07
-2.745000e+01	6.086276e+06	-2.745000e+01	-1.020914e+08	-2.745000e+01	2.151171e+07	-2.745000e+01	-6.076651e+07	-2.745000e+01	1.000542e+08	-2.745000e+01	-1.168016e+08	-2.745000e+01	7.790620e+07	-2.745000e+01	1.057245e+08	-2.745000e+01	2.315311e+07
-2.742500e+01	-2.005247e+07	-2.742500e+01	8.644790e+06	-2.742500e+01	-3.807721e+06	-2.742500e+01	4.007492e+06	-2.742500e+01	-7.334919e+07	-2.742500e+01	4.019883e+07	-2.742500e+01	-1.204682e+08	-2.742500e+01	2.716613e+07	-2.742500e+01	-4.281188e+07
-2.740000e+01	1.013130e+07	-2.740000e+01	9.163588e+07	-2.740000e+01	1.520504e+07	-2.740000e+01	-2.113860e+07	-2.740000e+01	-2.197279e+06	-2.740000e+01	8.519183e+06	-2.740000e+01	2.870624e+07	-2.740000e+01	1.946774e+07	-2.740000e+01	-5.914777e+07
-2.735000e+01	1.658719e+07	-2.735000e+01	-2.474909e+06	-2.735000e+01	-1.278658e+07	-2.735000e+01	-6.679397e+07	-2.735000e+01	2.616543e+07	-2.735000e+01	8.323589e+07	-2.735000e+01	7.607497e+07	-2.735000e+01	3.736745e+07	-2.735000e+01	-8.090773e+06
-2.725000e+01	2.022247e+07	-2.725000e+01	3.833010e+07	-2.725000e+01	-6.785027e+07	-2.725000e+01	9.410889e+07	-2.725000e+01	2.785273e+07	-2.725000e+01	1.594961e+07	-2.725000e+01	-6.553951e+07	-2.725000e+01	5.583516e+07	-2.725000e+01	6.309304e+07
-2.715000e+01	5.486386e+05	-2.715000e+01	2.858874e+07	-2.715000e+01	1.818959e+07	-2.715000e+01	-2.530481e+07	-2.715000e+01	-6.347249e+07	-2.715000e+01	-3.730284e+07	-2.715000e+01	6.422926e+07	-2.715000e+01	1.481718e+07	-2.715000e+01	4.644479e+06
-2.705000e+01	2.135886e+07	-2.705000e+01	3.354703e+07	-2.705000e+01	-3.494296e+07	-2.705000e+01	-4.250179e+06	-2.705000e+01	2.063058e+07	-2.705000e+01	-2.663185e+07	-2.705000e+01	1.000464e+08	-2.705000e+01	4.310824e+07	-2.705000e+01	3.936360e+07
-2.675000e+01	-1.361998e+06	-2.675000e+01	1.491408e+07	-2.675000e+01	-8.908797e+07	-2.675000e+01	-2.643902e+07	-2.675000e+01	1.455451e+07	-2.675000e+01	1.711948e+07	-2.675000e+01	-3.330633e+06	-2.675000e+01	1.702723e+07	-2.675000e+01	4.434634e+07
-2.645000e+01	3.505431e+04	-2.645000e+01	-6.415370e+07	-2.645000e+01	2.089468e+07	-2.645000e+01	1.999542e+07	-2.645000e+01	-4.599086e+07	-2.645000e+01	3.000875e+06	-2.645000e+01	-4.912606e+07	-2.645000e+01	8.602605e+07	-2.645000e+01	2.963403e+07
-2.615000e+01	-4.139255e+06	-2.615000e+01	5.559353e+07	-2.615000e+01	-6.856692e+07	-2.615000e+01	2.580492e+07	-2.615000e+01	1.361758e+06	-2.615000e+01	2.515986e+07	-2.615000e+01	4.883448e+07	-2.615000e+01	-5.221116e+07	-2.615000e+01	-6.909051e+07
-2.585000e+01	-1.257097e+07	-2.585000e+01	-5.491941e+07	-2.585000e+01	-7.423367e+06	-2.585000e+01	-1.667539e+07	-2.585000e+01	8.140098e+06	-2.585000e+01	-1.149357e+06	-2.585000e+01	-5.209666e+07	-2.585000e+01	3.165087e+07	-2.585000e+01	-8.094509e+06
-2.575000e+01	-2.136510e+07	-2.575000e+01	-5.878504e+07	-2.575000e+01	-2.250379e+07	-2.575000e+01	-3.607619e+07	-2.575000e+01	-1.629019e+07	-2.575000e+01	-7.958613e+06	-2.575000e+01	-1.029344e+08	-2.575000e+01	2.259349e+06	-2.575000e+01	7.136805e+07
-2.565000e+01	-1.470067e+06	-2.565000e+01	-1.707739e+07	-2.565000e+01	7.500280e+07	-2.565000e+01	-8.961859e+06	-2.565000e+01	-1.362409e+06	-2.565000e+01	-1.327765e+08	-2.565000e+01	-5.904168e+07	-2.565000e+01	4.899587e+07	-2.565000e+01	8.346063e+07
-2.560000e+01	-1.528571e+07	-2.560000e+01	-1.217997e+07	-2.560000e+01	-3.772352e+06	-2.560000e+01	-2.965849e+07	-2.560000e+01	-1.760665e+07	-2.560000e+01	5.741429e+06	-2.560000e+01	2.236463e+06	-2.560000e+01	-1.598346e+07	-2.560000e+01	-5.106267e+07
-2.557500e+01	-1.509626e+07	-2.557500e+01	2.316297e+07	-2.557500e+01	7.472588e+06	-2.557500e+01	-5.948059e+07	-2.557500e+01	-2.025148e+07	-2.557500e+01	6.879403e+06	-2.557500e+01	2.789259e+07	-2.557500e+01	-6.117145e+07	-2.557500e+01	-4.527412e+07
